,T_ext,T_ext1,T_ext2
325,-3.9,-5.793512048,-4.6383404
326,-3.3,-5.725114866,-4.311827722
327,-2.8,-5.650811388,-3.971311675
328,-3.9,-5.572987322,-4.288980489
329,-5.6,-5.503544734,-5.044951151
330,-6.7,-5.461021353,-5.716392608
331,-7.2,-5.459122886,-6.160807562
332,-7.2,-5.495991519,-6.351733355
333,-9.4,-5.568111148,-7.396120919
334,-9.4,-5.666237561,-7.751610356
335,-11.7,-5.80101565,-8.926508237
336,-14.4,-5.978211998,-10.49324389
337,-14.4,-6.200206518,-11.08748215
338,-14.4,-6.466775925,-11.45154316
339,-14.4,-6.755303539,-11.71631278
340,-13.9,-7.040832523,-11.71393341
341,-12.8,-7.305400291,-11.36053468
342,-12.2,-7.537043592,-11.08542838
343,-10,-7.719865563,-10.11864878
344,-8.3,-7.84428409,-9.140314541
345,-6.1,-7.897611513,-7.887255291
346,-4.4,-7.875190638,-6.726864594
347,-2.8,-7.777768238,-5.591355811
348,-1.1,-7.611510113,-4.397529488
349,0.6,-7.384005396,-3.16953222
350,1.7,-7.102731158,-2.165827655
351,2.8,-6.776708589,-1.211275974
352,2.8,-6.423094734,-0.736473615
353,0.6,-6.06791212,-1.329569488
354,0,-5.736759618,-1.592543778
355,-2.8,-5.465615497,-2.772330923
356,-2.2,-5.25954902,-2.815394746
357,-2.2,-5.11719982,-2.859278412
358,-5,-5.031195924,-4.054836449
359,-3.3,-4.979480342,-3.685373812
360,-5,-4.967527058,-4.365184562
361,-5.6,-4.982077808,-4.82712857
362,-6.7,-5.023131748,-5.47760587
363,-7.2,-5.092896196,-5.938729481
364,-5.6,-5.180386709,-5.479541868
365,-5,-5.270012032,-5.171559176
366,-5,-5.342358316,-5.1007901
367,-4.4,-5.387553902,-4.825870288
368,-3.9,-5.408874454,-4.535347576
369,-1.1,-5.396877387,-3.256691881
370,1.1,-5.338983428,-1.930396381
371,2.8,-5.215474373,-0.726539872
372,4.4,-5.022374745,0.444841742
373,7.2,-4.761991437,2.133903982
374,9.4,-4.435118672,3.737589505
375,10,-4.045802127,4.690725354
376,10,-3.610457577,5.225176617
377,8.3,-3.165561679,4.896111886
378,8.3,-2.735784661,4.99268276
379,8.3,-2.345971172,5.137184074
380,8.9,-1.99702552,5.534179205
381,8.3,-1.684234762,5.490738536
382,8.3,-1.395911623,5.579313835
383,7.8,-1.134287234,5.468341143
384,7.2,-0.902349003,5.249388212
385,6.7,-0.701779534,5.021179576
386,6.1,-0.534541921,4.728285029
387,5.6,-0.403967906,4.44481864
388,4.4,-0.309319568,3.854978351
389,3.3,-0.248850429,3.207774214
390,2.8,-0.224223545,2.768090644
391,2.8,-0.230782894,2.578369165
392,2.8,-0.258509873,2.461311112
393,3.3,-0.29358542,2.589607503
394,6.1,-0.313485592,3.76858443
395,8.3,-0.29482266,5.024442411
396,10,-0.213769506,6.175049475
397,11.7,-0.057900922,7.346547104
398,11.1,0.158804526,7.582316741
399,10.6,0.414976843,7.608122643
400,10,0.677669277,7.484698727
401,8.3,0.913979045,6.819872068
402,7.2,1.109622352,6.220436413
403,6.7,1.256432172,5.839015185
404,6.7,1.35490264,5.704451328
405,6.1,1.415254684,5.384714028
406,6.1,1.452884354,5.273000079
407,6.7,1.481686498,5.464730003
408,6.1,1.504584102,5.247268983
409,6.7,1.529666361,5.438174391
410,6.7,1.557657639,5.480647924
411,6.7,1.590517244,5.499555923
412,6.7,1.628601661,5.512094019
413,7.2,1.672210833,5.732827293
414,7.2,1.718984669,5.803860528
415,7.2,1.772904537,5.845198413
416,6.7,1.83005398,5.66508974
417,6.7,1.884825451,5.628285764
418,6.1,1.929315829,5.365064621
419,5.6,1.960435296,5.078704455
420,5,1.976395252,4.727935904
421,4.4,1.976799239,4.347733791
422,3.3,1.955957872,3.737121063
423,2.8,1.91159911,3.30224623
424,2.2,1.842896112,2.854699884
425,1.7,1.753230018,2.443854487
426,1.7,1.649352425,2.250337
427,1.7,1.537913598,2.119323473
428,1.7,1.426906578,2.019420469
429,1.7,1.322103353,1.938980437
430,1.7,1.226494986,1.872118347
431,1.7,1.140523153,1.815444104
432,1.7,1.063742165,1.76682286
433,2.2,0.997637351,1.935318659
434,2.2,0.94238781,1.960489531
435,2.2,0.899449626,1.960903272
436,1.7,0.864604148,1.743914865
437,1.1,0.830811488,1.420975874
438,1.7,0.795080863,1.55835997
439,1.1,0.75328195,1.311115542
440,1.1,0.710089057,1.226533086
441,1.1,0.665720945,1.175091254
442,1.1,0.621124074,1.136970665
443,0.6,0.576190742,0.895988574
444,0.6,0.531042162,0.808970698
445,0.6,0.484018041,0.755142804
446,0,0.433246366,0.462494777
447,-0.6,0.377650565,0.103819958
448,-0.6,0.314713926,-0.035585772
449,-1.1,0.241514375,-0.333237198
450,-1.1,0.161791239,-0.45921999
