,T_ext,T_ext1,T_ext2
4505,21.2,15.88162128,19.539881640807895
4506,21.6,16.102084995668704,19.77411709096582
4507,21.3,16.295943514165195,19.77786419568645
4508,21,16.469426933618657,19.71850593893198
4509,20.5,16.62225322913974,19.540696397030025
4510,20.1,16.75181073680441,19.35619400243135
4511,18.6,16.850847685861346,18.689342892004507
4512,18.3,16.918683919947206,18.374849029395254
4513,18.2,16.952582790521316,18.207012699815046
4514,18.1,16.96081904490258,18.081666109457505
4515,17.7,16.953426229080762,17.848614640739868
4516,17.5,16.93613440141648,17.672296680109362
4517,17.4,16.91211416758816,17.548687993840943
4518,17.4,16.882469668870787,17.482715174411467
4519,17.5,16.850658624947386,17.47868780964399
4520,17.6,16.822345305342015,17.49784765939629
4521,17.7,16.799428559622655,17.530568519094945
4522,18,16.782200387635747,17.65691012164246
4523,18.7,16.775119192181034,17.983427045428463
4524,20.2,16.788191643510984,18.714603048965486
4525,22,16.82996464077352,19.70968226519568
4526,23.4,16.913824601084617,20.652145660510577
4527,25.1,17.049733409263467,21.745845113488198
4528,25.8,17.23341671780988,22.484399873333054
4529,24.3,17.449008400517982,22.21870181283448
4530,23.4,17.672355768320113,21.90550398314301
4531,22.6,17.872512481085526,21.55347439918201
4532,21.5,18.031315970040886,21.02595301826334
4533,19.5,18.138383649091406,20.042409535456244
4534,17.3,18.186648617818406,18.811758985407398
4535,16,18.16916545863963,17.837490161646347
4536,16,18.09200233452227,17.437938097394312
4537,15.7,17.968581754438954,17.06655008929258
4538,15.1,17.81804850873754,16.60245116040407
4539,14.5,17.65746818029723,16.122584593828062
4540,14.5,17.49275784946433,15.889325650300508
4541,13.9,17.322100459695108,15.473561193781554
4542,13.6,17.150848812270418,15.145689243033452
4543,14,16.98333661266049,15.133768118770385
4544,14.9,16.830139866069732,15.428829530791363
4545,15.6,16.698713552894866,15.75300069360445
4546,16.1,16.596578204243507,16.035161264006476
4547,16.1,16.525607144011865,16.116230849259473
4548,17,16.482754531314388,16.529009540955037
4549,17.1,16.460897703775064,16.69775249948894
4550,17.5,16.459594023297626,16.943520368792676
4551,17.5,16.47474957365784,17.04031355767217
4552,17.8,16.500877833908753,17.225223830934773
4553,18.1,16.534479428149194,17.42999043328911
4554,18.1,16.574005102534652,17.517908265598393
